Dept,Actual_Sales,Predicted_Sales,MAE,Error,Absolute_Error
38,73567699.94,7.370888e+07,5298.268754918981,-141180.06000000238,141180.06000000238
72,47353427.39,4.69018e+07,4575.6856916795,451627.3900000006,451627.3900000006
92,94123344.59,9.360663e+07,4204.140900350437,516712.5900000036,516712.5900000036
95,88957018.94,8.89771e+07,3366.0188057484575,-20085.060000002384,20085.060000002384
65,1294159.53,1.2973176e+06,3315.9402025462964,-3158.094999999972,3158.094999999972
11,18370163.61,1.765931e+07,2867.8858389827665,710853.6099999994,710853.6099999994
16,21422758.66,2.1931554e+07,2770.1485722544476,-508795.33999999985,508795.33999999985
9,28496105.62,2.828688e+07,2734.144873739627,209225.62000000104,209225.62000000104
3,17108445.33,1.6515078e+07,2438.7986845341434,593367.3299999982,593367.3299999982
7,25408809.35,2.5049578e+07,2364.9926817574833,359231.3500000015,359231.3500000015
23,26256658.23,2.5821756e+07,2206.6282822097082,434902.23000000045,434902.23000000045
5,19173488.49,1.8627314e+07,2103.6796541523245,546174.4899999984,546174.4899999984
93,31526421.11,3.116452e+07,1893.0736297397514,361901.1099999994,361901.1099999994
40,54973549.65,5.4825068e+07,1815.4997740805043,148481.6499999985,148481.6499999985
91,41132911.74,4.0985224e+07,1809.7265737580979,147687.7400000021,147687.7400000021
94,37392124.97,3.723932e+07,1796.4018051424905,152804.9699999988,152804.9699999988
90,55443800.61,5.52327e+07,1776.63526720036,211100.6099999994,211100.6099999994
34,16382034.05,1.6383407e+07,1723.7780193652343,-1372.949999999255,1372.949999999255
2,53761059.14,5.3441732e+07,1718.4613676215279,319327.1400000006,319327.1400000006
58,3260868.37,3.0488562e+06,1560.7382334552942,212012.1200000001,212012.1200000001
87,18656162.33,1.8293782e+07,1464.731424896888,362380.3299999982,362380.3299999982
79,26404421.66,2.616204e+07,1457.904416144226,242381.66000000015,242381.66000000015
56,5023332.79,5.185417e+06,1358.6281572294276,-162084.20999999996,162084.20999999996
13,37717909.47,3.730932e+07,1338.5732020479682,408589.4699999988,408589.4699999988
67,9062576.81,8.645913e+06,1337.9786484425233,416663.8100000005,416663.8100000005
10,23182145.41,2.3028028e+07,1328.5924770207032,154117.41000000015,154117.41000000015
1,19347797.33,1.9043094e+07,1304.2600720887988,304703.3299999982,304703.3299999982
96,15632838.81,1.538975e+07,1282.1711045377942,243088.81000000052,243088.81000000052
4,32401016.91,3.2020088e+07,1228.38957966821,380928.91000000015,380928.91000000015
24,6417926.42,6.154304e+06,1217.8325335096567,263622.4199999999,263622.4199999999
74,16542808.59,1.6341421e+07,1216.71916041083,201387.58999999985,201387.58999999985
14,16588185.9,1.655704e+07,1171.0352501095115,31145.900000000373,31145.900000000373
46,24686202.41,2.469516e+07,1119.5691479271154,-8957.589999999851,8957.589999999851
8,37100979.74,3.667881e+07,1117.11357966821,422171.7400000021,422171.7400000021
33,6418336.23,6.1892015e+06,1072.189062568838,229134.73000000045,229134.73000000045
49,6849532.18,6.768687e+06,1019.5805278865811,80845.1799999997,80845.1799999997
48,674459.96,630072.3,1007.1768628318241,44387.64749999996,44387.64749999996
82,18875607.25,1.8692052e+07,981.4509012345678,183555.25,183555.25
22,10681562.71,1.056256e+07,958.106225649507,119002.7100000009,119002.7100000009
97,17513688.79,1.7312658e+07,904.8353899226848,201030.7899999991,201030.7899999991
55,7221371.81,7.184811e+06,901.3593032356655,36560.80999999959,36560.80999999959
32,6826853.13,6.85691e+06,857.1819755813948,-30056.87000000011,30056.87000000011
6,3919628.87,3.9604102e+06,844.6292481179328,-40781.37999999989,40781.37999999989
25,10608907.62,1.0587003e+07,841.6933274479121,21904.61999999918,21904.61999999918
17,11370936.53,1.1190149e+07,825.1435922982283,180787.52999999933,180787.52999999933
71,5305435.3,5.2949085e+06,814.5210706519508,10526.799999999814,10526.799999999814
26,7556228.04,7.453138e+06,807.0996165006301,103090.04000000004,103090.04000000004
81,19242412.54,1.9111132e+07,699.0190835704411,131280.5399999991,131280.5399999991
18,2604645.33,2.392628e+06,694.828159864587,212017.33000000007,212017.33000000007
36,2058444.31,2.0383248e+06,639.3652874827266,20119.560000000056,20119.560000000056
20,6439320.78,6.448222e+06,591.1439106071315,-8901.21999999974,8901.21999999974
80,13672696.19,1.3568229e+07,587.0127691938258,104467.18999999948,104467.18999999948
31,2699525.34,2.5471312e+06,522.930462729713,152394.08999999985,152394.08999999985
50,790036.0,783718.5,502.3029272132129,6317.5,6317.5
98,7141486.7,7.025321e+06,501.1478846122311,116165.70000000019,116165.70000000019
29,5341447.83,5.2877925e+06,490.4295743179703,53655.330000000075,53655.330000000075
44,4753291.36,4.563255e+06,458.4991327662686,190036.36000000034,190036.36000000034
35,2914769.1,2.935462e+06,457.0046649841408,-20692.899999999907,20692.899999999907
42,6611439.05,6.540187e+06,446.36568917003626,71252.04999999981,71252.04999999981
41,1991332.57,1.875171e+06,423.8069779838054,116161.57000000007,116161.57000000007
30,3981184.85,4.021224e+06,417.0973514713444,-40039.14999999991,40039.14999999991
12,5450947.25,5.501692e+06,408.9777055921947,-50744.75,50744.75
83,3578714.43,3.560814e+06,395.96358709434566,17900.430000000168,17900.430000000168
21,5411315.42,5.4203025e+06,328.7532020458331,-8987.080000000075,8987.080000000075
85,2329103.08,2.2795512e+06,328.4224460146602,49551.830000000075,49551.830000000075
37,1469787.36,1.4295426e+06,303.1882378472222,40244.7350000001,40244.7350000001
