Forecast_Week,Store,Dept,Predicted_Sales
2012-11-02,1,1,31583.9921875
2012-11-02,1,2,44715.0
2012-11-02,1,3,9863.84375
2012-11-02,1,4,37049.08203125
2012-11-02,1,5,26782.779296875
2012-11-02,1,6,4958.14208984375
2012-11-02,1,7,23807.2421875
2012-11-02,1,8,41030.5
2012-11-02,1,9,40590.00390625
2012-11-02,1,10,27617.208984375
2012-11-02,1,11,21984.904296875
2012-11-02,1,12,9468.537109375
2012-11-02,1,13,39974.64453125
2012-11-02,1,14,12496.24609375
2012-11-02,1,16,10005.4736328125
2012-11-02,1,17,8000.68212890625
2012-11-02,1,18,15775.0302734375
2012-11-02,1,19,1575.766845703125
2012-11-02,1,20,3049.1533203125
2012-11-02,1,21,8140.7685546875
2012-11-02,1,22,8347.6640625
2012-11-02,1,23,21380.865234375
2012-11-02,1,24,7522.47705078125
2012-11-02,1,25,11035.029296875
2012-11-02,1,26,8131.02294921875
2012-11-02,1,27,1674.17724609375
2012-11-02,1,28,741.4436645507812
2012-11-02,1,29,3976.964599609375
2012-11-02,1,30,2788.246337890625
2012-11-02,1,31,1693.1986083984375
2012-11-02,1,32,5986.341796875
2012-11-02,1,33,6795.34765625
2012-11-02,1,34,10184.0244140625
2012-11-02,1,35,1584.384521484375
2012-11-02,1,36,1221.707763671875
2012-11-02,1,37,2497.960205078125
2012-11-02,1,38,77550.03125
2012-11-02,1,40,62102.88671875
2012-11-02,1,41,1600.88427734375
2012-11-02,1,42,7003.26025390625
2012-11-02,1,44,6386.5908203125
2012-11-02,1,45,41.03721237182617
2012-11-02,1,46,18131.630859375
2012-11-02,1,47,166.575439453125
2012-11-02,1,48,3150.728271484375
2012-11-02,1,49,9827.2958984375
2012-11-02,1,51,34.243896484375
2012-11-02,1,52,2338.825927734375
2012-11-02,1,54,46.285255432128906
2012-11-02,1,55,11307.69921875
2012-11-02,1,56,1175.3551025390625
2012-11-02,1,58,5138.9765625
2012-11-02,1,59,228.72314453125
2012-11-02,1,60,1031.9083251953125
2012-11-02,1,67,7204.55517578125
2012-11-02,1,71,1759.9583740234375
2012-11-02,1,72,46485.56640625
2012-11-02,1,74,8725.5546875
2012-11-02,1,79,37274.4765625
2012-11-02,1,80,18882.626953125
2012-11-02,1,81,30085.38671875
2012-11-02,1,82,20555.990234375
2012-11-02,1,83,5421.46826171875
2012-11-02,1,85,3475.9599609375
2012-11-02,1,87,67329.3984375
2012-11-02,1,90,92330.265625
2012-11-02,1,91,69998.109375
2012-11-02,1,92,162894.125
2012-11-02,1,93,83723.140625
2012-11-02,1,94,65622.2890625
2012-11-02,1,95,121875.3046875
2012-11-02,1,96,35086.4140625
2012-11-02,1,97,35807.0703125
2012-11-02,1,98,12871.6875
2012-11-02,1,99,324.4441223144531
2012-11-02,2,1,48112.64453125
2012-11-02,2,2,67101.25
2012-11-02,2,3,10812.1513671875
2012-11-02,2,4,46461.765625
2012-11-02,2,5,32479.732421875
2012-11-02,2,6,5516.9677734375
2012-11-02,2,7,41577.04296875
2012-11-02,2,8,65794.78125
2012-11-02,2,9,36326.09375
2012-11-02,2,10,35732.85546875
2012-11-02,2,11,21334.46875
2012-11-02,2,12,7974.6884765625
2012-11-02,2,13,48140.51953125
2012-11-02,2,14,19404.513671875
2012-11-02,2,16,7197.30126953125
2012-11-02,2,17,12756.6044921875
2012-11-02,2,18,22257.109375
2012-11-02,2,19,4195.30810546875
2012-11-02,2,20,4218.18310546875
2012-11-02,2,21,8302.6171875
2012-11-02,2,22,13914.8017578125
2012-11-02,2,23,26493.87890625
2012-11-02,2,24,8220.3154296875
2012-11-02,2,25,13881.9345703125
2012-11-02,2,26,9830.6572265625
2012-11-02,2,27,2089.3984375
2012-11-02,2,28,954.4877319335938
2012-11-02,2,29,5805.39208984375
2012-11-02,2,30,3919.94970703125
2012-11-02,2,31,3616.264892578125
2012-11-02,2,32,8072.81494140625
2012-11-02,2,33,7241.900390625
2012-11-02,2,34,17181.150390625
2012-11-02,2,35,2715.209228515625
2012-11-02,2,36,1141.9808349609375
2012-11-02,2,37,4280.2060546875
2012-11-02,2,38,75925.1171875
2012-11-02,2,40,81695.703125
2012-11-02,2,41,2366.281982421875
2012-11-02,2,42,8794.83984375
2012-11-02,2,44,10770.22265625
2012-11-02,2,45,52.223873138427734
2012-11-02,2,46,27350.576171875
2012-11-02,2,47,87.4540786743164
2012-11-02,2,48,1961.620361328125
2012-11-02,2,49,14095.5234375
2012-11-02,2,52,3699.3095703125
2012-11-02,2,54,30.949235916137695
2012-11-02,2,55,11605.2763671875
2012-11-02,2,56,1285.6796875
2012-11-02,2,58,30994.748046875
2012-11-02,2,59,346.23388671875
2012-11-02,2,60,303.10546875
2012-11-02,2,67,10474.37109375
2012-11-02,2,71,4005.642578125
2012-11-02,2,72,78089.125
2012-11-02,2,74,15150.16015625
2012-11-02,2,79,33097.875
2012-11-02,2,80,26267.935546875
2012-11-02,2,81,29571.890625
2012-11-02,2,82,26018.88671875
2012-11-02,2,83,5104.7109375
2012-11-02,2,85,3059.881591796875
2012-11-02,2,87,25950.3203125
2012-11-02,2,90,106147.203125
2012-11-02,2,91,86236.1875
2012-11-02,2,92,187579.0625
2012-11-02,2,93,83634.1953125
2012-11-02,2,94,75039.9609375
2012-11-02,2,95,146322.125
2012-11-02,2,96,36578.625
2012-11-02,2,97,42242.87890625
2012-11-02,2,98,14414.16015625
2012-11-02,2,99,304.35455322265625
2012-11-02,3,1,12147.06640625
2012-11-02,3,2,19105.1796875
2012-11-02,3,3,4894.12353515625
2012-11-02,3,4,8756.08984375
2012-11-02,3,5,15519.994140625
2012-11-02,3,6,1671.2081298828125
2012-11-02,3,7,9896.9013671875
2012-11-02,3,8,8707.6240234375
2012-11-02,3,9,10422.953125
2012-11-02,3,10,13996.984375
2012-11-02,3,11,8888.9716796875
2012-11-02,3,12,2507.28955078125
2012-11-02,3,13,12111.86328125
2012-11-02,3,14,4947.607421875
2012-11-02,3,16,3507.9892578125
2012-11-02,3,17,2750.433837890625
2012-11-02,3,18,5799.40966796875
2012-11-02,3,19,695.5159301757812
2012-11-02,3,20,1751.827880859375
2012-11-02,3,21,1233.3594970703125
2012-11-02,3,22,4528.50146484375
2012-11-02,3,23,16349.568359375
2012-11-02,3,24,3175.165283203125
2012-11-02,3,25,4785.53271484375
2012-11-02,3,26,3150.068115234375
