Actual_Sales,Predicted_Sales
25890.8,35089.5
91691.9,83716.07
28446.31,31676.918
1943.18,2045.1134
7563.94,9985.886
10434.61,10597.941
14368.12,14615.454
7.97,-133.49736
2749.3,2755.4766
2019.5,2661.629
27909.7,28873.66
3431.5,4704.441
1555.89,1345.5234
799.0,583.7221
147.0,184.69807
21711.56,20593.578
40032.45,38716.203
5035.63,5572.2417
17406.79,17926.293
31151.4,30936.807
7442.13,7018.278
10214.22,12478.176
743.91,745.2328
3036.98,3059.6519
56093.13,53393.14
15503.32,20348.031
34417.69,32693.072
6627.74,6933.1323
38315.05,38943.086
41759.92,41240.8
3632.29,4012.4272
694.79,656.85913
48984.51,54426.016
13968.37,14428.639
27980.63,32689.676
11724.13,13097.405
33.84,-43.299496
48312.52,51255.223
28209.46,31642.74
7335.5,7193.851
3976.2,6383.4355
29524.22,26715.205
24458.85,23416.883
1997.38,2090.4424
3005.0,2136.0925
37188.38,40313.418
6284.63,8239.438
9989.49,10838.861
49.4,129.81003
1908.59,1593.8159
2120.0,1625.283
51609.56,49694.88
32536.29,33189.445
5079.94,5665.2104
90.0,-115.24276
622.0,585.1872
13527.44,15992.963
11535.32,13667.235
16161.31,15896.877
185.73,74.1963
28805.01,29004.322
58334.32,51397.168
26949.78,16496.5
16490.9,16997.69
448.35,260.85944
1503.11,1529.3386
513.0,495.12585
40774.4,39011.395
1764.42,2320.1394
245.88,26.186785
3966.62,4185.287
4236.2,4218.257
408.5,860.99384
43991.18,47811.45
288.39,384.52536
33.01,353.86618
14599.99,15416.474
16658.09,15659.971
10679.38,12658.354
34911.83,35214.64
2020.0,2968.9543
13850.55,17855.889
45845.42,50311.973
7703.45,7046.51
867.63,734.1567
2967.61,2206.6482
1141.05,1475.5165
48697.31,54480.86
11692.46,11306.982
1843.02,1588.3152
5195.61,5121.493
5921.39,6005.685
580.0,1591.7086
20.0,77.7972
26953.36,39394.707
2594.85,2562.1865
61348.66,64064.84
8552.45,7685.306
1891.26,2128.148
48692.33,39710.336
54186.49,56832.26
3538.0,4031.1084
1359.92,1450.6456
17867.55,19493.14
11244.02,10853.551
90.0,122.51309
2674.35,2621.2834
12538.21,11692.259
80858.88,81864.66
4713.21,5015.52
56.14,43.968674
13425.6,13871.65
828.0,879.1714
51804.74,57949.945
37.58,-88.46974
2719.5,3609.0156
889.75,1040.3163
2074.26,1942.4822
16459.62,17317.29
17364.7,17839.898
3294.36,4000.4346
23842.44,24035.047
31238.85,29418.99
44620.92,51826.355
10475.21,9978.126
18216.76,17643.953
16932.64,17727.56
1502.62,2365.4912
9498.42,11099.26
1539.0,1862.852
22352.06,24460.195
20339.3,22750.916
6527.87,6689.9263
10846.35,11037.743
23.94,-93.0261
20.0,189.07909
1503.18,1536.6979
333.0,541.392
145.77,120.970764
19015.44,18033.113
469.4,541.1049
20.0,-106.2979
17489.2,20118.207
22.72,-24.337015
35843.12,37362.582
13652.2,13834.944
11871.96,12575.884
2263.42,2749.7358
835.4,761.8094
21992.54,25040.834
2277.6,2433.2112
10813.19,10733.327
27841.26,24811.168
49257.63,45903.004
8643.58,8207.005
15937.5,16870.586
23955.91,25637.795
4588.43,4421.4556
2605.6,3182.7637
2471.95,2361.6348
7883.11,8247.94
207.64,174.15222
21774.41,23862.816
6115.26,6517.941
31839.54,32269.994
2516.47,3127.9214
23202.76,27311.334
14916.18,15683.0205
26998.88,29461.152
7368.12,6698.884
34.46,-128.95923
315.0,475.63846
9043.91,11523.343
43699.66,35732.59
72998.33,67980.4
3690.23,3843.6616
208.22,55.91897
12881.52,10493.0205
5990.29,7391.367
176.09,211.13293
65017.42,64522.086
30752.29,35263.062
38279.82,37065.977
406.65,514.8724
25686.25,27911.154
359.0,1386.6183
38513.43,37403.54
10680.97,11141.641
9759.75,9991.621
9589.22,9717.649
26962.3,29365.83
20317.71,19268.979
139.57,-28.550037
3327.16,2733.853
652.14,594.5371
34932.12,36383.98
371.27,468.25497
602.25,509.71472
111.6,56.124065
4785.86,5969.303
4250.93,3981.584
5688.73,5618.8774
13677.7,12257.73
2558.32,3405.299
48085.18,50821.074
313.81,316.8109
4234.14,4683.603
7445.84,9088.636
5174.97,5257.8086
7806.74,7642.5195
6729.54,7075.5693
43074.8,49703.43
3217.91,3410.2117
93881.78,99741.85
170989.18,161793.44
4586.33,2831.3335
19822.8,17579.0
567.0,677.9991
4493.21,5475.316
10844.42,11372.386
64488.42,68485.01
2068.5,2852.5464
35468.24,38304.836
8997.61,10335.534
3971.48,3982.3591
13325.77,14054.961
88641.05,94669.445
16131.88,13470.69
3887.91,3732.0286
53579.55,58523.684
10051.32,12830.716
25355.85,26822.94
3612.99,4467.8623
40658.67,41124.625
2309.17,2654.4282
726.46,543.3001
13027.99,11770.456
976.77,883.8291
31423.53,32676.7
9233.38,11431.597
3734.61,3201.777
35736.23,37123.38
24137.28,24949.521
17840.4,16649.758
1957.48,2086.5918
16002.0,16736.03
10915.81,11932.535
602.12,745.5137
1427.0,3242.89
4528.57,2801.406
14373.18,12079.012
1319.12,1197.35
5708.99,6713.457
48691.25,49196.12
13306.81,14169.056
63288.22,70876.36
21930.67,24541.168
38033.53,42308.98
288.0,369.74768
9343.23,7418.7593
2195.93,1761.6542
17981.61,12795.757
9865.05,10196.685
68.07,6.8726463
8029.25,10121.686
4212.7,4962.708
3484.33,3259.7283
20158.89,19262.77
452.78,299.87955
31250.29,32408.94
2074.24,2096.0232
4190.0,4815.952
11159.27,15029.722
7436.28,5422.993
324.7,1293.0989
28297.17,26465.305
8888.55,7492.767
9259.54,8942.523
1690.0,2626.2756
17042.87,14627.418
90783.1,98739.95
8579.38,10176.321
22534.99,24549.469
34388.39,28747.87
21656.15,21867.242
1991.51,3231.287
7273.05,9892.283
129438.22,124236.39
31240.72,33792.24
24773.21,24874.756
1253.0,737.81885
242.78,221.6407
31818.7,35375.203
2893.72,2600.5151
10652.79,11237.819
564.37,1107.9429
5503.21,5564.8228
18015.25,24432.281
8361.86,8578.788
15816.61,16251.481
6489.76,6037.4478
5.88,70.14789
26165.29,27372.475
8469.49,8744.797
8665.81,8940.443
1556.5,1443.6503
41515.95,43712.195
127171.44,114116.17
22810.49,27061.312
8.97,-70.050385
21610.32,21901.123
18356.98,18466.963
9269.22,7761.14
12122.71,11841.33
29147.7,36128.88
80.0,-45.064957
5.97,34.78597
2964.0,2659.3787
51048.01,47245.0
2406.75,2231.9263
13.69,-88.776505
119.7,-183.48662
11.97,-77.04041
4613.77,4167.9824
3952.22,4547.025
37822.31,34258.105
34492.77,33710.93
3682.72,3005.6895
38541.8,39113.57
6089.81,7667.8423
162.43,-89.024765
6079.68,5979.339
24808.5,23307.943
78.77,139.69249
52282.06,49313.902
12345.43,14593.394
2550.37,2281.1467
66.8,-144.03735
1722.12,2644.9468
24893.17,27241.635
2119.48,3931.0574
6397.07,6571.8633
13778.65,17819.398
6586.17,6858.852
1155.0,1125.494
3375.54,3303.0532
81.92,-10.433746
5975.78,6079.573
10945.34,11867.404
4860.0,7569.8804
10366.25,10246.459
7698.35,9084.805
17893.5,16967.89
88.73,187.02904
1764.69,1811.6349
9473.33,7967.75
6710.54,6640.3384
17180.46,19129.516
69785.02,71164.336
10206.83,12398.161
41624.7,40469.324
903.5,1147.973
42425.11,43319.953
8397.64,8992.562
1266.79,981.6542
39556.69,36855.88
684.02,387.03107
11081.16,13508.25
1943.62,6943.1514
48639.44,44709.043
34642.55,38988.84
4739.7,4425.849
5717.17,4376.52
5379.77,4261.3755
10647.56,12245.132
2684.5,2581.6768
9335.89,8504.839
2252.01,2395.5012
61627.06,63081.746
5925.88,7444.131
2967.06,3619.4668
38.92,-83.782684
3054.08,3653.1658
14835.66,17541.816
58416.64,56597.844
4591.07,4888.4116
17871.16,15840.314
10431.68,11209.562
330.51,284.2842
6125.85,6989.431
8351.69,8128.046
25162.51,27702.244
18554.76,18369.25
45535.72,46732.395
9136.51,8530.592
23680.39,25850.162
13369.42,11591.105
4927.38,5206.6226
10819.48,10989.8955
3945.0,3540.584
3172.01,3575.09
1557.5,1708.6693
2095.22,2524.1423
3721.54,4069.273
3822.02,3531.468
390.76,365.8419
47.52,-57.685547
1431.36,2148.7073
18337.83,19819.615
5199.68,5348.843
6484.08,9572.61
4109.11,3739.1565
22667.66,23498.285
22607.73,21172.158
6612.26,6581.135
19318.3,21435.27
19172.7,18726.236
