Store,Actual_Sales,Predicted_Sales,MAE,Error,Absolute_Error
14,46800254.19,4.7411736e+07,2400.2968523116747,-611481.8100000024,611481.8100000024
20,56360980.04,5.5200936e+07,2344.4810308688598,1160044.039999999,1160044.039999999
4,58121034.53,5.8470044e+07,1994.0561367011155,-349009.4699999988,349009.4699999988
23,38593959.15,3.8433652e+07,1966.437765300696,160307.1499999985,160307.1499999985
13,55239800.69,5.5005356e+07,1917.7207576290741,234444.68999999762,234444.68999999762
27,46437451.29,4.589058e+07,1898.6045709174912,546871.2899999991,546871.2899999991
2,51056219.21,5.0421164e+07,1774.5672381072195,635055.2100000009,635055.2100000009
10,47824434.08,4.7535036e+07,1768.0980273736714,289398.0799999982,289398.0799999982
19,37722784.77,3.713645e+07,1719.2336324918447,586336.7700000033,586336.7700000033
24,37036521.91,3.650819e+07,1651.2310149086209,528329.9099999964,528329.9099999964
28,33582585.99,3.2987418e+07,1610.6189951391582,595167.9900000021,595167.9900000021
1,42436008.74,4.220365e+07,1596.895486024571,232360.7400000021,232360.7400000021
39,42366054.09,4.192545e+07,1571.8355630549875,440606.0900000036,440606.0900000036
6,41934529.79,4.165522e+07,1525.3676158140145,279309.7899999991,279309.7899999991
17,25841271.41,2.5660222e+07,1474.0772552803676,181049.41000000015,181049.41000000015
11,36086588.24,3.5966544e+07,1439.451298638967,120044.24000000209,120044.24000000209
18,28503618.11,2.8001928e+07,1393.216232666523,501690.1099999994,501690.1099999994
41,37202169.68,3.6710268e+07,1380.7214707696405,491901.6799999997,491901.6799999997
35,23151154.24,2.2652572e+07,1320.6742631102802,498582.23999999836,498582.23999999836
22,27282642.2,2.6939102e+07,1312.6493875134784,343540.19999999925,343540.19999999925
26,27975269.71,2.7588424e+07,1297.783970969071,386845.7100000009,386845.7100000009
31,37246345.11,3.7042932e+07,1275.4765660965668,203413.1099999994,203413.1099999994
40,26605147.85,2.670862e+07,1218.3923206598886,-103472.14999999851,103472.14999999851
32,32120538.51,3.1823004e+07,1187.3907654390355,297534.51000000164,297534.51000000164
12,26529991.66,2.6364418e+07,1131.7897478865532,165573.66000000015,165573.66000000015
8,24535418.35,2.4276354e+07,1050.542250823559,259064.3500000015,259064.3500000015
34,26122020.32,2.6040946e+07,1035.9726469190912,81074.3200000003,81074.3200000003
45,20459983.93,2.0346692e+07,1007.6011960769595,113291.9299999997,113291.9299999997
25,19091987.43,1.8812198e+07,980.1895199865216,279789.4299999997,279789.4299999997
15,16053402.8,1.5928553e+07,977.4852590156847,124849.80000000075,124849.80000000075
7,15978707.99,1.5816129e+07,958.3445089812024,162578.99000000022,162578.99000000022
21,18677384.74,1.8629814e+07,922.4302448302199,47570.73999999836,47570.73999999836
16,14311725.8,1.4074186e+07,917.2769319177113,237539.80000000075,237539.80000000075
9,14964800.84,1.487462e+07,880.8066572336085,90180.83999999985,90180.83999999985
29,14203216.01,1.4059656e+07,878.8031445982988,143560.00999999978,143560.00999999978
42,15282868.82,1.5191675e+07,795.7482698193664,91193.8200000003,91193.8200000003
43,16680482.47,1.6625542e+07,721.3459066448114,54940.47000000067,54940.47000000067
3,11243766.45,1.1117866e+07,695.8347243694493,125900.44999999925,125900.44999999925
38,11648453.209999999,1.1485445e+07,572.077954898982,163008.20999999903,163008.20999999903
5,8846576.51,8.715014e+06,544.1011609248706,131562.50999999978,131562.50999999978
37,14111321.870000001,1.3935748e+07,530.5502690349854,175573.87000000104,175573.87000000104
36,8127187.35,8.0629125e+06,503.5454416969046,64274.84999999963,64274.84999999963
30,11742102.12,1.1595294e+07,467.5056377471712,146808.11999999918,146808.11999999918
33,7197376.52,7.118958e+06,459.20148611224334,78418.51999999955,78418.51999999955
44,9122014.95,8.956825e+06,434.4002806864579,165189.94999999925,165189.94999999925
